NAMESPACE     NAME                                                           READY   STATUS    RESTARTS   AGE     IP           NODE                                                NOMINATED NODE   READINESS GATES   LABELS
default       busybox-584c9d4dfd-lk4km                                       1/1     Running   0          17m     10.8.0.27    gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            pod-template-hash=584c9d4dfd,run=busybox
default       nginx-57867cc648-9hdzk                                         1/1     Running   0          36m     10.8.0.22    gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            pod-template-hash=57867cc648,run=nginx
kube-system   event-exporter-v0.2.4-5f88c66fb7-xpqvh                         2/2     Running   0          15h     10.8.2.3     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=event-exporter,pod-template-hash=5f88c66fb7,version=v0.2.4
kube-system   fluentd-gcp-scaler-59b7b75cd7-6h5kt                            1/1     Running   0          15h     10.8.2.6     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=fluentd-gcp-scaler,pod-template-hash=59b7b75cd7
kube-system   fluentd-gcp-v3.2.0-hjlhm                                       2/2     Running   0          15h     10.128.0.4   gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            controller-revision-hash=68f79b58dd,k8s-app=fluentd-gcp,kubernetes.io/cluster-service=true,pod-template-generation=2,version=v3.2.0
kube-system   fluentd-gcp-v3.2.0-jmbtt                                       2/2     Running   0          15h     10.128.0.2   gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            controller-revision-hash=68f79b58dd,k8s-app=fluentd-gcp,kubernetes.io/cluster-service=true,pod-template-generation=2,version=v3.2.0
kube-system   fluentd-gcp-v3.2.0-zdlk8                                       2/2     Running   0          15h     10.128.0.3   gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   <none>           <none>            controller-revision-hash=68f79b58dd,k8s-app=fluentd-gcp,kubernetes.io/cluster-service=true,pod-template-generation=2,version=v3.2.0
kube-system   heapster-77b69c74dc-68ntt                                      3/3     Running   0          15h     10.8.2.4     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=heapster,pod-template-hash=77b69c74dc,version=v1.7.0
kube-system   kube-dns-79868f54c5-98n66                                      4/4     Running   0          15h     10.8.1.3     gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   <none>           <none>            k8s-app=kube-dns,pod-template-hash=79868f54c5
kube-system   kube-dns-79868f54c5-zhjnh                                      4/4     Running   0          15h     10.8.2.7     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=kube-dns,pod-template-hash=79868f54c5
kube-system   kube-dns-autoscaler-bb58c6784-6ctjm                            1/1     Running   0          15h     10.8.2.5     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=kube-dns-autoscaler,pod-template-hash=bb58c6784
kube-system   kube-proxy-gke-standard-cluster-1-default-pool-5b8f57f9-76m8   1/1     Running   0          15h     10.128.0.4   gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            component=kube-proxy,tier=node
kube-system   kube-proxy-gke-standard-cluster-1-default-pool-5b8f57f9-blc5   1/1     Running   0          15h     10.128.0.2   gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            component=kube-proxy,tier=node
kube-system   kube-proxy-gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   1/1     Running   0          15h     10.128.0.3   gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   <none>           <none>            component=kube-proxy,tier=node
kube-system   l7-default-backend-fd59995cd-ksm4g                             1/1     Running   0          15h     10.8.2.8     gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            k8s-app=glbc,name=glbc,pod-template-hash=fd59995cd
kube-system   metrics-server-v0.3.1-57c75779f-pj7w5                          2/2     Running   0          15h     10.8.1.2     gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   <none>           <none>            k8s-app=metrics-server,pod-template-hash=57c75779f,version=v0.3.1
kube-system   prometheus-to-sd-8lgs7                                         1/1     Running   0          15h     10.128.0.2   gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            controller-revision-hash=59788d67d7,k8s-app=prometheus-to-sd,pod-template-generation=1
kube-system   prometheus-to-sd-ddrtb                                         1/1     Running   0          15h     10.128.0.4   gke-standard-cluster-1-default-pool-5b8f57f9-76m8   <none>           <none>            controller-revision-hash=59788d67d7,k8s-app=prometheus-to-sd,pod-template-generation=1
kube-system   prometheus-to-sd-lm9lt                                         1/1     Running   0          15h     10.128.0.3   gke-standard-cluster-1-default-pool-5b8f57f9-vzdf   <none>           <none>            controller-revision-hash=59788d67d7,k8s-app=prometheus-to-sd,pod-template-generation=1
test          nginx-test                                                     1/1     Running   0          5h59m   10.8.0.3     gke-standard-cluster-1-default-pool-5b8f57f9-blc5   <none>           <none>            run=nginx-test
